Idx,y_test,y_pred_full,y_pred_early
0,1,0,1
1,0,0,0
2,0,0,0
3,0,1,1
4,0,0,0
5,0,0,0
6,1,1,1
7,1,1,1
8,1,1,1
9,0,0,0
10,1,1,1
11,1,1,1
12,0,1,1
13,0,0,0
14,1,1,1
15,0,0,0
16,0,0,0
17,0,1,1
18,0,0,1
19,0,1,1
20,0,1,1
21,0,0,0
22,1,0,0
23,1,0,0
24,0,0,0
25,0,0,0
26,1,1,1
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,1,1,1
33,0,0,0
34,1,1,1
35,0,0,0
36,1,1,1
37,0,0,0
38,0,0,0
39,0,1,1
40,1,1,1
41,0,1,1
42,1,1,1
43,0,0,0
44,1,1,1
45,1,1,1
46,0,0,0
47,1,1,1
48,1,0,0
49,1,1,1
50,1,1,1
51,1,1,1
52,0,0,0
53,1,0,0
54,0,0,0
55,1,1,1
56,0,1,1
57,0,0,0
58,0,1,1
59,0,0,0
60,0,0,0
61,1,1,1
62,1,1,1
63,0,0,0
64,1,1,1
65,1,1,1
66,0,0,1
67,0,0,0
68,0,1,1
69,0,0,0
70,0,0,0
71,0,0,0
72,1,0,0
73,1,1,1
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,1,1,1
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,1,1,1
87,0,0,0
88,1,1,1
89,1,0,0
90,0,0,0
91,1,0,0
92,1,1,1
93,0,0,0
94,1,1,1
95,1,1,1
96,1,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,1,1,1
101,0,1,1
102,1,0,0
103,0,0,0
104,1,1,1
105,1,1,0
106,0,1,1
107,0,0,0
108,1,1,1
109,1,0,0
110,1,0,0
111,0,0,0
112,1,0,0
113,1,1,1
114,0,0,0
115,0,0,0
116,1,1,1
117,0,0,0
118,1,0,1
119,0,0,0
120,0,0,0
121,0,1,1
122,1,0,0
123,0,0,0
124,1,1,1
125,1,0,1
126,0,0,0
127,0,0,0
128,1,1,1
129,0,0,0
130,0,0,1
131,0,0,0
132,1,1,1
133,0,1,1
134,0,0,0
135,0,0,0
136,0,0,0
137,1,1,1
138,0,1,1
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,1
143,0,1,0
144,0,0,0
145,1,0,0
146,0,1,1
147,1,0,0
148,0,0,0
149,1,1,1
150,0,0,0
151,1,1,1
152,0,0,0
153,1,0,0
154,0,0,0
155,0,0,0
156,1,1,1
157,0,0,0
158,0,1,1
159,0,1,1
160,0,0,0
161,1,1,1
162,1,1,1
163,0,0,0
164,0,1,1
165,0,0,0
166,1,1,1
167,1,1,1
168,0,0,0
169,0,0,0
170,0,0,1
171,1,1,1
172,1,0,0
173,1,0,0
174,1,0,0
175,1,1,1
176,1,1,1
177,0,1,1
178,0,0,0
179,0,1,1
180,0,0,0
181,0,0,1
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,1,0,0
188,0,0,0
189,1,1,1
190,1,1,1
191,0,0,1
192,0,0,0
193,0,0,0
194,0,0,0
195,0,1,1
196,1,0,0
197,0,1,1
198,1,1,1
199,1,0,1
200,1,1,1
201,0,0,0
202,1,0,0
203,1,0,1
204,1,1,1
205,1,1,1
206,0,0,0
207,0,0,0
208,1,1,1
209,1,1,0
210,0,1,1
211,0,1,1
212,1,1,1
213,0,0,1
214,0,0,0
215,0,0,0
216,1,1,1
217,0,0,0
218,1,0,0
219,0,0,0
220,1,1,1
221,0,1,1
222,1,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,1,1
227,0,0,0
228,1,1,1
229,0,0,0
230,1,1,1
231,0,1,1
232,0,1,1
233,0,0,0
234,1,1,1
235,0,0,0
236,1,0,0
237,0,0,0
238,0,1,1
239,0,0,0
240,0,0,0
241,0,0,1
242,0,0,0
243,0,0,1
244,0,1,1
245,0,0,0
246,1,0,0
247,1,0,0
248,1,0,0
249,0,0,0
250,0,1,1
251,0,1,1
252,0,1,1
253,0,0,0
254,0,0,0
255,0,0,0
256,1,1,1
257,0,0,0
258,0,0,0
259,0,1,1
260,0,0,0
261,0,0,0
262,0,0,0
263,1,1,1
264,0,0,0
265,0,0,0
266,0,0,0
267,0,0,0
268,0,0,0
269,0,0,0
270,1,1,1
271,1,0,0
272,0,0,0
273,1,1,0
274,0,0,0
275,1,1,1
276,1,1,1
277,1,1,0
278,0,0,0
279,0,0,0
280,1,1,1
281,0,0,0
282,0,0,0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
